"title","author","author_url","rating","voters_count","url"
"The Urn Carrier","Chris Convissor","https://www.goodreads.com/author/show/15081443.Chris_Convissor","4.26","19","https://goodreads.com/book/show/29501930-the-urn-carrier"
"Heartstopper: Volume One (Heartstopper, #1)","Alice Oseman","https://www.goodreads.com/author/show/7789423.Alice_Oseman","4.53","51235","https://goodreads.com/book/show/40495957-heartstopper"
"About a Girl","Joanne Horniman","https://www.goodreads.com/author/show/403066.Joanne_Horniman","3.65","727","https://goodreads.com/book/show/7541466-about-a-girl"
"You Know Where to Find Me","Rachel Cohn","https://www.goodreads.com/author/show/13139.Rachel_Cohn","3.25","1594","https://goodreads.com/book/show/1743821.You_Know_Where_to_Find_Me"
"Goldenseal (Garoul, #1)","Gill McKnight","https://www.goodreads.com/author/show/1305376.Gill_McKnight","3.83","1560","https://goodreads.com/book/show/6590520-goldenseal"
"Vampire Knight, Vol. 4 (Vampire Knight, #4)","Matsuri Hino","https://www.goodreads.com/author/show/153732.Matsuri_Hino","4.3","15048","https://goodreads.com/book/show/1898916.Vampire_Knight_Vol_4"
"Trouble Girls","Julia Lynn Rubin","https://www.goodreads.com/author/show/17071577.Julia_Lynn_Rubin","5.0","7","https://goodreads.com/book/show/52514688-trouble-girls"
"When Love Comes to Town","Tom Lennon","https://www.goodreads.com/author/show/136887.Tom_Lennon","3.59","458","https://goodreads.com/book/show/811918.When_Love_Comes_to_Town"
"To Be A Lesbian","Yuriko Hime","https://www.goodreads.com/author/show/8526049.Yuriko_Hime","4.12","66","https://goodreads.com/book/show/32728965-to-be-a-lesbian"
"We Awaken","Calista Lynne","https://www.goodreads.com/author/show/15298800.Calista_Lynne","3.15","351","https://goodreads.com/book/show/30341730-we-awaken"
"Rainbow Boys (Rainbow Trilogy, #1)","Alex   Sanchez","https://www.goodreads.com/author/show/53974.Alex_Sanchez","3.84","12915","https://goodreads.com/book/show/94064.Rainbow_Boys"
"Rainbow Briefs volume 2","Kira Harp","https://www.goodreads.com/author/show/5318941.Kira_Harp","4.14","14","https://goodreads.com/book/show/41128791-rainbow-briefs-volume-2"
"Before a Million Universes","T.W.R. Shelton","https://www.goodreads.com/author/show/14244927.T_W_R_Shelton","4.11","18","https://goodreads.com/book/show/26202319-before-a-million-universes"
"The Book of Lost Things","John Connolly","https://www.goodreads.com/author/show/38951.John_Connolly","3.95","67723","https://goodreads.com/book/show/69136.The_Book_of_Lost_Things"
"Looking for Group","Alexis  Hall","https://www.goodreads.com/author/show/7032108.Alexis_Hall","3.9","762","https://goodreads.com/book/show/30175057-looking-for-group"
"What We Left Behind","Robin Talley","https://www.goodreads.com/author/show/6469490.Robin_Talley","3.12","1944","https://goodreads.com/book/show/22082075-what-we-left-behind"
"Behind the Falls","Brenda Zalegowski","https://www.goodreads.com/author/show/13984726.Brenda_Zalegowski","4.41","61","https://goodreads.com/book/show/25400942-behind-the-falls"
"Notes from the Blender","Trish Cook","https://www.goodreads.com/author/show/446751.Trish_Cook","3.49","1483","https://goodreads.com/book/show/7740164-notes-from-the-blender"
"Disastrous Dates & Dream Boys","Mark A. Roeder","https://www.goodreads.com/author/show/141588.Mark_A_Roeder","4.11","131","https://goodreads.com/book/show/319630.Disastrous_Dates_Dream_Boys"
"Her Elysium (Flowers and Keyboards 1)","Emmy Engberts","https://www.goodreads.com/author/show/18018107.Emmy_Engberts","3.86","87","https://goodreads.com/book/show/40094304-her-elysium"
"Hold on Tight (Sea Breeze, #8)","Abbi Glines","https://www.goodreads.com/author/show/4872191.Abbi_Glines","4.3","19091","https://goodreads.com/book/show/18870150-hold-on-tight"
"Kindred: 12 Queer #LoveOzYA Stories","Michael Earp","https://www.goodreads.com/author/show/18233909.Michael_Earp","3.85","240","https://goodreads.com/book/show/43197387-kindred"
"The May Queen Murders","Sarah Jude","https://www.goodreads.com/author/show/14161619.Sarah_Jude","3.4","1314","https://goodreads.com/book/show/25897757-the-may-queen-murders"
"Tank Baby (Elodie Fontaine Mysteries Book 1)","Iza Moreau","https://www.goodreads.com/author/show/6425423.Iza_Moreau","3.8","10","https://goodreads.com/book/show/42389774-tank-baby"
"The Midnight Club","Christopher Pike","https://www.goodreads.com/author/show/19954.Christopher_Pike","3.82","4279","https://goodreads.com/book/show/84075.The_Midnight_Club"
"Jordan Dare and the Kidnapped Ghost (Jordan Dare Trilogy #1)","Cameron DeCessna","https://www.goodreads.com/author/show/18473266.Cameron_DeCessna","4.25","4","https://goodreads.com/book/show/42080680-jordan-dare-and-the-kidnapped-ghost"
"Lizard Radio","Pat Schmatz","https://www.goodreads.com/author/show/676993.Pat_Schmatz","3.61","758","https://goodreads.com/book/show/24727102-lizard-radio"
"Call Down the Hawk (Dreamer Trilogy, #1)","Maggie Stiefvater","https://www.goodreads.com/author/show/1330292.Maggie_Stiefvater","4.36","18408","https://goodreads.com/book/show/31373184-call-down-the-hawk"
"PINS","Jim Provenzano","https://www.goodreads.com/author/show/620500.Jim_Provenzano","4.07","102","https://goodreads.com/book/show/1292403.PINS"
"Path of Shadows","Kain Jensen","https://www.goodreads.com/author/show/16111248.Kain_Jensen","3.29","24","https://goodreads.com/book/show/33100462-path-of-shadows"
"Hot Spots","Gwendoline Nelson","https://www.goodreads.com/author/show/15197479.Gwendoline_Nelson","4.13","15","https://goodreads.com/book/show/29974125-hot-spots"
"Things a Bright Girl Can Do","Sally Nicholls","https://www.goodreads.com/author/show/982805.Sally_Nicholls","3.99","2776","https://goodreads.com/book/show/33876596-things-a-bright-girl-can-do"
"Wandering Son, Vol. 3","Takako Shimura","https://www.goodreads.com/author/show/5456298.Takako_Shimura","4.15","876","https://goodreads.com/book/show/12610347-wandering-son-vol-3"
"Sometimes Never, Sometimes Always","Elissa Janine Hoole","https://www.goodreads.com/author/show/4575345.Elissa_Janine_Hoole","3.41","225","https://goodreads.com/book/show/17378990-sometimes-never-sometimes-always"
"St. Clair (Gives Light , #3)","Rose Christo","https://www.goodreads.com/author/show/5783229.Rose_Christo","4.24","1128","https://goodreads.com/book/show/16037018-st-clair"
"Rhapsody on a Theme (Vivaldi in the Dark #3)","Matthew J. Metzger","https://www.goodreads.com/author/show/6893941.Matthew_J_Metzger","4.34","112","https://goodreads.com/book/show/23008568-rhapsody-on-a-theme"
"The World Unseen","Shamim Sarif","https://www.goodreads.com/author/show/374437.Shamim_Sarif","4.07","2021","https://goodreads.com/book/show/1585299.The_World_Unseen"
"Awakening Magic (Magical Girl Academy, #2)","Kayla Bashe","https://www.goodreads.com/author/show/3059615.Kayla_Bashe","3.54","13","https://goodreads.com/book/show/18498301-awakening-magic"
"What to Buy the Shadowhunter Who Has Everything (The Bane Chronicles, #8)","Cassandra Clare","https://www.goodreads.com/author/show/150038.Cassandra_Clare","4.25","11632","https://goodreads.com/book/show/17334066-what-to-buy-the-shadowhunter-who-has-everything"
"A Conjuring of Light (Shades of Magic, #3)","V.E. Schwab","https://www.goodreads.com/author/show/7168230.V_E_Schwab","4.34","83819","https://goodreads.com/book/show/29939230-a-conjuring-of-light"
"Spinning","Tillie Walden","https://www.goodreads.com/author/show/13560692.Tillie_Walden","3.83","12022","https://goodreads.com/book/show/33163388-spinning"
"Annie on My Mind","Nancy Garden","https://www.goodreads.com/author/show/47640.Nancy_Garden","3.99","41192","https://goodreads.com/book/show/595375.Annie_on_My_Mind"
"Vampire Knight, Vol. 2 (Vampire Knight, #2)","Matsuri Hino","https://www.goodreads.com/author/show/153732.Matsuri_Hino","4.24","15570","https://goodreads.com/book/show/263173.Vampire_Knight_Vol_2"
"The Benefit of Ductwork","Kira Harp","https://www.goodreads.com/author/show/5318941.Kira_Harp","4.38","88","https://goodreads.com/book/show/13378392-the-benefit-of-ductwork"
"Hidden Play","HarlemDiggity","https://www.goodreads.com/author/show/14166877.HarlemDiggity","5.0","1","https://goodreads.com/book/show/25917492-hidden-play"
"Throwaway Girls","Andrea Contos","https://www.goodreads.com/author/show/18341319.Andrea_Contos","3.83","231","https://goodreads.com/book/show/49088541-throwaway-girls"
"Paperweight","Meg Haston","https://www.goodreads.com/author/show/941429.Meg_Haston","3.89","9573","https://goodreads.com/book/show/23361172-paperweight"
"The Rules for Hearts (Battle Hall Davies, #2)","Sara Ryan","https://www.goodreads.com/author/show/26891.Sara_Ryan","3.63","1372","https://goodreads.com/book/show/313197.The_Rules_for_Hearts"
"Class A (Cherub, #2)","Robert Muchamore","https://www.goodreads.com/author/show/268199.Robert_Muchamore","4.29","20215","https://goodreads.com/book/show/1291211.Class_A"
